tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy,pg_vacancy,n1_vacancy,n2_vacancy,k1_vacancy,k2_vacancy,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks
"na","ST0319","PCF Sparkletots Preschool @ Hong Kah North Blk 338 (KN)","ST","PAP Community Foundation","KN","65696601","HN.KN.338@pcf.org.sg","338,Bukit Batok Street 34,#01-338,650338","650338","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-29","na"
"na","PT8990","LITTLE FOOTPRINTS PRESCHOOL @ UBI PTE LTD","PT","Private Operators","CC","65094701","tina.francis@littlefootprints.edu.sg","67,UBI AVENUE 1,#01-10,STARHUB GREEN,408942","408942","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","Yes","2020-12-29","na"
"na","NT0554","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","INFO@MYFIRSTSKOOL.COM","332B,ANCHORVALE LINK,#01-372,542332","542332","www.myfirstskool.com","More than 1 Year","More than 1 Year","More than 1 Year","Immediate","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","NT0499","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","18,MARINE TERRACE,#01-108,440018","440018","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","NT0495","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","82,STRATHMORE AVENUE,#01-138,141082","141082","www.myfirstskool.com","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","NT0487","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","409,JURONG WEST STREET 42,#01-899,640409","640409","www.ntuc-childcare.com","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","NT0270","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","848,WOODLANDS STREET 82,#01-195,730848","730848","www.myfirstskool.com","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","NT0030","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","343,ANG MO KIO AVE 3,#01-2182,560343","560343","www.myfirstskool.com","na","Immediate","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","PT9008","Little Footprints Preschool Pte Ltd","PT","Private Operators","CC","62526228","michelle.kek@littlefootprints.edu.sg","60,KIM KEAT ROAD,#01-01,KIM KEAT HOUSE,328827","328827","www.littlefootprints.com.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-12-28","na"
"na","PT8892","CHILD'S ATELIER PTE. LTD.","PT","Private Operators","CC","65703768","richard.teh@childatelier.com.sg","33,UBI AVENUE 3,#01-43,VERTEX,408868","408868","www.childatelier.com.sg","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-12-28","na"
"na","PT9602","MASTERMINDS MONTESSORI KINDERGARTEN","PT","Private Operators","KN","62350983","carol@masterminds.sg","68,NAMLY PLACE,SHAMROCK PARK,267214","267214","www.masterminds.sg","na","na","na","na","na","na","na","Chinese","No","08:00-17:00","na","na","No","No","Yes","No","2020-12-28","na"
"na","NT0360","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","info@myfirstskool.com","612,YISHUN STREET 61,#01-193,760612","760612","www.myfirstskool.com","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","Within 1 Year","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","PT8140","LOVESHINE CHILDCARE PTE. LTD.","PT","Private Operators","CC","67822488","enquiry.lscc@loveshine.com.sg","473,TAMPINES STREET 43,#01-90,520473","520473","www.loveshine.com.sg","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-12-28","na"
"na","ST0360","PCF Sparkletots Preschool @ Punggol West Blk 271A (KN)","ST","PAP Community Foundation","KN","67020790","PU.KN.271A@pcf.org.sg","271A,Punggol Walk,#01-509,821271","821271","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","ST0168","PCF Sparkletots Preschool @ Fernvale Blk 469B (EY)","ST","PAP Community Foundation","EYC-DS","64436772","PT.EY.469B@pcf.org.sg","469B,SENGKANG WEST WAY,#01-614,FERNVALE LEA,792469","792469","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","ST0015","PCF SPARKLETOTS PRESCHOOL @ EUNOS BLK 134 (CC)","ST","PAP Community Foundation","CC","67460726","EN.CC.134@pcf.org.sg","134,BEDOK RESERVOIR ROAD,#01-1235,470134","470134","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-28","na"
"na","PT9445","First Steps Preschool @ Macpherson","PT","Private Operators","CC","91593605","macpherson@ourfirststeps.com.sg","47,KALLANG PUDDING ROAD,#01-01,THE CRESCENT @ KALLANG,349318","349318","www.ourfirststeps.com.sg","na","na","na","na","na","na","na","na","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-12-28","na"
"na","PT9336","GREENLAND CHILDCARE @ PUNGGOL DRIVE PTE LTD","PT","Private Operators","CC","69190025","PUNGGOLDRIVE.GREENLANDCC@GMAIL.COM","678A,PUNGGOL DRIVE,#01-816,WATERWAY BROOKS,821678","821678","na","Within 1 Year","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-12-27","na"
"na","PT5250","KINDERLAND PRESCHOOL","PT","Private Operators","CC","68928892","melissalim@kinderland.com.sg","900,SOUTH WOODLANDS DRIVE,#05-03,WOODLANDS CIVIC CENTRE,730900","730900","www.kinderland.com.sg","Within 1 Year","Immediate","Immediate","Immediate","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-12-27","na"
"na","ST0010","PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 3 (CC)","ST","PAP Community Foundation","CC","67623794","CK.CC.3@pcf.org.sg","3,TECK WHYE AVENUE,#01-168,680003","680003","na","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0022","PCF SPARKLETOTS PRESCHOOL @ CHONG PANG BLK 142 (CC)","ST","PAP Community Foundation","CC","62576300","CP.CC.142@pcf.org.sg","142,YISHUN RING ROAD,#01-38,760142","760142","http://www.pcf.org.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0347","PCF Sparkletots Preschool @ Canberra Blk 487 (KN)","ST","PAP Community Foundation","KN","65700224","CB.KN.487@pcf.org.sg","487,Admiralty Link,#01-131,750487","750487","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0178","PCF SPARKLETOTS PRESCHOOL@BUKIT TIMAH BLK 207 (CC)","ST","PAP Community Foundation","CC","62649356","BT.CC.207@pcf.org.sg","207,CLEMENTI AVENUE 6,#01-01,120207","120207","na","na","Immediate","Immediate","Within 1 Year","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0129","PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 12 (CC)","ST","PAP Community Foundation","CC","64666271","BT.CC.12@pcf.org.sg","12,TOH YI DRIVE,#01-389,590012","590012","www.pcf.org.sg","Within 1 Year","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0062","PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK BLK 512 (CC)","ST","PAP Community Foundation","CC","65620141","BG.CC.512@pcf.org.sg","512,BUKIT BATOK STREET 52,#01-500,650512","650512","na","More than 1 Year","Immediate","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0094","PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST BLK 208 (CC)","ST","PAP Community Foundation","CC","65674739","BI.CC.208@pcf.org.sg","208,JURONG EAST STREET 21,#01-189,600208","600208","na","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0190","PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK BLK 293 (CC)","ST","PAP Community Foundation","CC","64518208","BK.CC.293@pcf.org.sg","293,BUKIT BATOK STREET 21,#01-01,MULTI STOREY CAR PARK,650293","650293","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0109","PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK BLK 178 (CC)","ST","PAP Community Foundation","CC","66650148","BK.CC.178@pcf.org.sg","178,BUKIT BATOK WEST AVENUE 8,#01-217,650178","650178","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0174","PCF Sparkletots Preschool @ Brickland Blk 807C (CC)","ST","PAP Community Foundation","CC","69125290","BC.CC.807C@pcf.org.sg","807C,CHOA CHU KANG AVENUE 1,#01-552,KEAT HONG AXIS,683807","683807","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0369","PCF Sparkletots Preschool @ Brickland Blk 801 (DS)","ST","PAP Community Foundation","DS","68910214","BC.DS.801@pcf.org.sg","801,Keat Hong Close,#01-01,680801","680801","na","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0156","PCF Sparkletots Preschool @ Brickland Blk 489B (CC)","ST","PAP Community Foundation","CC","68910464","BC.CC.489B@pcf.org.sg","489B,CHOA CHU KANG AVENUE 5,#01-201,682489","682489","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0271","PCF Sparkletots Preschool @ Bedok Reservoir - Punggol Blk 414 (DS)","ST","PAP Community Foundation","DS","63868507","KP.DS.414@pcf.org.sg","414,Hougang Avenue 10,#01-1256,530414","530414","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","07:00-19:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0105","PCF Sparkletots Preschool @ Ayer Rajah Blk 748 (CC)","ST","PAP Community Foundation","CC","67923281","AR.CC.748@pcf.org.sg","748,JURONG WEST STREET 73,#01-125,640748","640748","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0157","PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG BLK 937 (CC)","ST","PAP Community Foundation","CC","63860296","AH.CC.937@pcf.org.sg","937,HOUGANG STREET 92,#01-77,530937","530937","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","ST0274","PCF Sparkletots Preschool @ Ang Mo Kio - Hougang Blk 632 (DS)","ST","PAP Community Foundation","DS","62426952","AH.DS.632@pcf.org.sg","632,Hougang Avenue 8,#01-28,530632","530632","na","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese|Malay|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-27","na"
"na","PT9539","GUG PRESCHOOL @ THOMSON","PT","Private Operators","CC","62584722","ADMIN.THOMSON@GUGIFTED.COM","2,DERBYSHIRE ROAD,309458","309458","www.gugifted.com","na","Immediate","Immediate","Immediate","Immediate","Immediate","Halal Food With No Beef (with Certification from MUIS)","Chinese","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-12-24","na"
"na","PT8740","KINDERLAND PRESCHOOL","PT","Private Operators","CC","63425651","kesmp@kinderland.com.sg","87,MARINE PARADE CENTRAL,#03-203,440087","440087","www.kinderland.com.sg","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","na","No","Yes","Yes","Yes","2020-12-24","na"
"na","PT9226","SUNFLOWER PRESCHOOL PTE. LTD.","PT","Private Operators","CC","62429581","rebecca@sunflowerkid.com","745,BEDOK RESERVOIR ROAD,#02-3015,470745","470745","na","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Partner Operator Scheme","No","No","Yes","No","2020-12-24","na"
"na","RC1779","HOPE CHILDCARE CENTRE","RC","Not-for-Profit Organisation","CC","62650743","HOPECHILDCARECENTRE@GMAIL.COM","3501,JALAN BUKIT MERAH,#04-00,RUBIKON,159460","159460","na","na","More than 1 Year","More than 1 Year","More than 1 Year","Immediate","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","na","na","No","No","Yes","No","2020-12-24","na"
"na","RC1861","CHOA CHU KANG BIBLE CENTRE KINDERGARTEN","RC","Not-for-Profit Organisation","KN","67637502","cckbck16@gmail.com","10,CHOA CHU KANG STREET 52,689284","689284","CCKBCK.SG","na","na","na","na","na","na","na","Chinese","Yes","08:00-15:00","na","na","No","Yes","Yes","No","2020-12-24","na"
"na","ST0005","PCF SPARKLETOTS PRESCHOOL @ WOODGROVE BLK 894D (CC)","ST","PAP Community Foundation","CC","63657293","WG.CC.894D@pcf.org.sg","894D,WOODLANDS DRIVE 50,#01-19,732894","732894","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0229","PCF Sparkletots Preschool @ Whampoa Blk 106 (KN)","ST","PAP Community Foundation","KN","63963731","WP.KN.106@pcf.org.sg","106,Towner Road,#01-434,322106","322106","na","na","na","Within 1 Year","Immediate","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","No","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0228","PCF Sparkletots Preschool @ Whampoa Blk 112 (KN)","ST","PAP Community Foundation","KN","62535610","WP.KN.112@pcf.org.sg","112,Whampoa Road,#01-83,321112","321112","na","na","na","More than 1 Year","Immediate","Immediate","Immediate","na","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0071","PCF SPARKLETOTS PRESCHOOL @ WHAMPOA BLK 105 (CC)","ST","PAP Community Foundation","CC","63562059","WP.CC.105@pcf.org.sg","105,JALAN RAJAH,#01-78,320105","320105","na","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0191","PCF SPARKLETOTS PRESCHOOL @ ULU PANDAN BLK 24 (DS)","ST","PAP Community Foundation","DS","65702996","UP.DS.24@pcf.org.sg","24,Ghim Moh Link,#03-01,270024","270024","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0181","PCF SPARKLETOTS PRESCHOOL @ TOA PAYOH CENTRAL BLK 79B (CC)","ST","PAP Community Foundation","CC","68359356","TY.CC.79B@pcf.org.sg","79B,TOA PAYOH CENTRAL,#01-27,CENTRAL HORIZON,312079","312079","na","na","na","na","na","na","na","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","ST0214","PCF Sparkletots Preschool @ Telok Blangah Blk 2 (KN)","ST","PAP Community Foundation","KN","67731760","TB.KN.2@pcf.org.sg","2,Dover Road,#01-342,130002","130002","na","na","na","Immediate","More than 1 Year","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-24","na"
"na","RC1903","Little Seeds Preschool","RC","Not-for-Profit Organisation","CC","67852976","tsatam@littleseeds.edu.sg","159,TAMPINES ST 12,#01-95,521159","521159","www.littleseeds.edu.sg","na","na","na","na","na","na","No Pork No Lard with No Beef (from Non-Halal Sources)","Chinese","No","07:00-19:00","na","na","No","No","Yes","Yes","2020-12-23","na"
"na","ST0305","PCF Sparkletots Preschool @ Jurong Central Blk 490 (KN)","ST","PAP Community Foundation","KN","65691448","JT.KN.490@pcf.org.sg","490,Jurong West Avenue 1,#01-01,640490","640490","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","Yes","08:00-17:00","na","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","ST0041","PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 115 (CC)","ST","PAP Community Foundation","CC","64430230","FS.CC.115@pcf.org.sg","115,BEDOK NORTH ROAD,#01-303,460115","460115","na","Within 1 Year","More than 1 Year","Within 1 Year","Within 1 Year","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","RC1764","PLAYSCAPES@4PM","RC","Not-for-Profit Organisation","CC","62420395","secretariat@4pm.org.sg","606,BEDOK RESERVOIR ROAD,#01-736,470606","470606","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Malay","No","07:00-19:00","07:00-14:00","na","No","No","Yes","No","2020-12-23","na"
"na","PT9418","EQ-LEARNERS EDUCARE PTE LTD","PT","Private Operators","CC","67640010","KESCCKKG@KINDERLAND.COM.SG","475,CHOA CHU KANG AVENUE 3,#02-15,SUNSHINE PLACE,680475","680475","na","Within 1 Year","Within 1 Year","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","na","na","No","No","Yes","No","2020-12-23","na"
"na","WP0630","KINDERLAND PRESCHOOL","WP","Workplace","CC","63231138","kesmnd@kinderland.com.sg","7,MAXWELL ROAD,#06-02,ANNEXE B MND COMPLEX,069111","069111","na","na","na","na","na","na","na","Halal Food With No Beef (with Certification from MUIS)","Chinese","Yes","07:00-19:00","na","na","No","No","Yes","Yes","2020-12-23","na"
"na","ST0052","PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 305 (CC)","ST","PAP Community Foundation","CC","67799108","BT.CC.305@pcf.org.sg","305,CLEMENTI  AVENUE 4,#01-399,120305","120305","www.pcf.org.sg","Immediate","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","ST0025","PCF SPARKLETOTS PRESCHOOL @ FENGSHAN BLK 76 (CC)","ST","PAP Community Foundation","CC","62420326","FS.CC.76@pcf.org.sg","76,BEDOK NORTH ROAD,#01-178,460076","460076","na","na","Immediate","Within 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","ST0179","PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 123 (CC)","ST","PAP Community Foundation","CC","67653630","CK.CC.123@pcf.org.sg","123,TECK WHYE LANE,#01-864,680123","680123","na","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","More than 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","PT9447","MAPLEBEAR LEARNING JOURNEY PTE. LTD.","PT","Private Operators","CC","62554660","thomsonwalk@mynt.sg","22,THOMSON WALK,HAPPY PARK,574469","574469","maplebear.sg/thomsonwalk","na","Immediate","Immediate","Immediate","Immediate","Immediate","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","No","07:00-19:00","07:00-14:00","na","No","Yes","Yes","No","2020-12-23","na"
"na","NT0590","My First Skool","NT","NTUC First Campus Co-Operative Ltd","EYC","66349989","leemm@myfirstskool.com","322D,SUMANG WALK,#01-857,PUNGGOL BAYVIEW,824322","824322","na","More than 1 Year","Within 1 Year","Immediate","Immediate","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"TP0153","NT0581","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","EYC","66349989","INFO@MYFIRSTSKOOL.COM","659A,PUNGGOL EAST,#01-771,WATERWAY SUNRAY,821659","821659","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay|Tamil","No","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-23","na"
"na","ST0026","PCF Sparkletots Preschool @ Nee Soon Central Blk 723 (CC)","ST","PAP Community Foundation","CC","67560735","NC.CC.723@pcf.org.sg","723,YISHUN STREET 71,#01-157,760723","760723","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-22","na"
"na","RC1470","Kidz Meadow Childcare and Development Centre (Yew Tee)","RC","Not-for-Profit Organisation","CC","67638770","sitishahidah@kiddycampus.sg","612,Choa Chu Kang St 62,#01-195,680612","680612","na","na","na","na","na","na","na","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Malay","No","07:00-19:00","07:00-14:00","na","No","No","Yes","Yes","2020-12-22","na"
"na","NT0537","MY FIRST SKOOL","NT","NTUC First Campus Co-Operative Ltd","CC","66349989","INFO@MYFIRSTSKOOL.COM","51,HAVELOCK ROAD,#01-23,MULTI STOREY CAR PARK,161051","161051","www.myfirstskool.com/","Within 1 Year","Immediate","Immediate","Immediate","Immediate","Within 1 Year","No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources)","Chinese|Tamil","Yes","07:00-19:00","07:00-14:00","Anchor Operator Scheme","No","No","Yes","Yes","2020-12-22","na"
